City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,Ulladulla,-35.35,150.4667,51.76,62,1,4.27,AU,2022-12-08 19:57:09
274,Tasiilaq,65.6145,-37.6368,11.41,63,28,3.89,GL,2022-12-08 19:57:09
275,Gornopravdinsk,60.05,69.9,13.39,94,100,9.15,RU,2022-12-08 19:58:10
276,Yenagoa,4.9247,6.2642,77.94,79,25,5.53,NG,2022-12-08 19:58:10
277,Jumla,29.2747,82.1838,40.86,27,0,5.26,NP,2022-12-08 19:58:10
278,Manaure,11.7751,-72.4445,81.97,65,94,12.01,CO,2022-12-08 19:58:11
279,Casablanca,33.5928,-7.6192,66.22,77,40,9.22,MA,2022-12-08 19:57:39
280,Namatanai,-3.6667,152.4333,79.2,82,100,4.29,PG,2022-12-08 19:58:11
281,Waycross,31.2136,-82.354,80.98,59,40,6.91,US,2022-12-08 19:58:12
282,Henties Bay,-22.116,14.2845,59.92,89,0,7.92,NA,2022-12-08 19:58:12
283,Northampton,40.8754,-75.2499,47.77,61,100,1.01,US,2022-12-08 19:58:13
284,Haines Junction,60.7522,-137.5108,21.15,68,100,8.05,CA,2022-12-08 19:58:13
285,Savantvadi,15.9,73.8167,68.16,48,100,5.48,IN,2022-12-08 19:58:13
286,East London,-33.0153,27.9116,74.1,96,99,19.33,ZA,2022-12-08 19:58:14
287,Nakamura,32.9833,132.9333,43.3,71,0,3.67,JP,2022-12-08 19:58:14
288,Ostrovnoy,68.0531,39.5131,29.08,92,100,28.16,RU,2022-12-08 19:58:14
289,Baykit,61.67,96.37,6.31,93,100,9.26,RU,2022-12-08 19:58:15
290,Koscierzyna,54.1223,17.9812,31.91,94,99,3.44,PL,2022-12-08 19:58:15
291,Marrakesh,31.6315,-8.0083,60.87,88,75,3.44,MA,2022-12-08 19:56:37
292,Caravelas,-17.7125,-39.2481,79.5,80,14,9.55,BR,2022-12-08 19:58:16
293,Wattegama,6.7989,81.4808,68.77,70,100,0.98,LK,2022-12-08 19:58:16
294,Dublin,37.7021,-121.9358,55.92,72,0,8.05,US,2022-12-08 19:58:17
